account_age,no_follower,no_following,no_userfavourites,no_lists,no_tweets,no_retweets,no_hashtag,no_usermention,no_urls,no_char,no_digits,class
490.0,0.0,26.0,0.0,0.0,3841.0,0.0,1.0,0.0,1.0,17.0,0.0,spammer
1088.0,1.0,54.0,0.0,0.0,133.0,0.0,1.0,0.0,1.0,52.0,0.0,spammer
834.0,1.0,5.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
1345.0,27.0,205.0,4.0,1.0,143.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
242.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,18.0,0.0,spammer
939.0,0.0,2.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
899.0,1.0,151.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,14.0,0.0,spammer
978.0,44.0,18.0,0.0,0.0,115.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
381.0,0.0,189.0,0.0,0.0,312.0,0.0,0.0,0.0,1.0,39.0,0.0,spammer
692.0,3.0,15.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
701.0,2.0,10.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,42.0,0.0,spammer
1050.0,4.0,199.0,0.0,0.0,78.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
894.0,10.0,50.0,5.0,0.0,217.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
804.0,35.0,29.0,1.0,1.0,238.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
303.0,13840.0,138.0,78.0,13.0,6353.0,59.0,0.0,1.0,1.0,72.0,1.0,spammer
1277.0,1.0,21.0,5.0,0.0,126.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
1040.0,0.0,222.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
815.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
333.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
1307.0,3.0,440.0,0.0,0.0,57.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
1244.0,2.0,1.0,0.0,0.0,91.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
921.0,5.0,6.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
858.0,0.0,219.0,0.0,0.0,1110.0,0.0,0.0,0.0,1.0,45.0,2.0,spammer
972.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,1.0,9.0,0.0,spammer
446.0,1.0,2.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
1132.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
930.0,2.0,13.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
488.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,1.0,34.0,1.0,spammer
944.0,2.0,61.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,58.0,0.0,spammer
1038.0,1.0,10.0,0.0,0.0,7101.0,0.0,1.0,0.0,1.0,13.0,0.0,spammer
720.0,4.0,25.0,20.0,0.0,68.0,0.0,1.0,0.0,1.0,41.0,0.0,spammer
1409.0,2.0,45.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
765.0,17.0,573.0,23.0,0.0,72.0,0.0,1.0,0.0,1.0,13.0,0.0,spammer
291.0,0.0,14.0,0.0,0.0,348.0,0.0,0.0,0.0,1.0,25.0,0.0,spammer
1889.0,8.0,32.0,0.0,0.0,68.0,0.0,1.0,0.0,1.0,17.0,0.0,spammer
1295.0,18.0,78.0,395.0,0.0,531.0,0.0,1.0,0.0,1.0,12.0,0.0,spammer
803.0,6.0,758.0,2.0,0.0,74.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1810.0,1473.0,280.0,4.0,94.0,6511.0,0.0,1.0,0.0,1.0,18.0,0.0,spammer
860.0,2.0,6.0,1.0,0.0,110.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
933.0,0.0,2.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
1376.0,31.0,134.0,1.0,0.0,69.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
386.0,8729.0,7005.0,0.0,24.0,35284.0,0.0,0.0,0.0,1.0,59.0,0.0,spammer
1253.0,21.0,21.0,0.0,1.0,233.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
584.0,0.0,11.0,0.0,0.0,294.0,0.0,0.0,0.0,1.0,62.0,0.0,spammer
926.0,8.0,33.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
1272.0,5.0,412.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
343.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
1155.0,0.0,191.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
694.0,0.0,216.0,0.0,0.0,339.0,0.0,0.0,0.0,1.0,48.0,0.0,spammer
890.0,0.0,8.0,0.0,0.0,88.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
601.0,0.0,13.0,3.0,0.0,68.0,0.0,1.0,0.0,1.0,40.0,0.0,spammer
199.0,0.0,10.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
1395.0,1.0,13.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
689.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
1257.0,0.0,3.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
928.0,1.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
1700.0,4.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,11.0,0.0,spammer
961.0,0.0,0.0,0.0,0.0,122.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
324.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
47.0,8.0,53.0,0.0,0.0,202.0,1.0,0.0,1.0,1.0,76.0,0.0,spammer
896.0,9.0,42.0,1.0,0.0,82.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
1431.0,3.0,2.0,1.0,0.0,65.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
1673.0,2.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1425.0,24.0,454.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
486.0,19.0,113.0,0.0,0.0,96.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
490.0,0.0,26.0,0.0,0.0,3842.0,0.0,1.0,0.0,1.0,29.0,8.0,spammer
1088.0,1.0,54.0,0.0,0.0,134.0,0.0,1.0,0.0,1.0,17.0,0.0,spammer
1766.0,3.0,3.0,1.0,0.0,64.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
1015.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,17.0,0.0,spammer
834.0,1.0,5.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
248.0,0.0,0.0,0.0,0.0,74.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1589.0,1272.0,1114.0,181.0,8.0,30947.0,0.0,1.0,3.0,1.0,103.0,7.0,spammer
1403.0,1.0,2.0,0.0,0.0,341.0,0.0,0.0,0.0,1.0,41.0,0.0,spammer
1345.0,27.0,205.0,4.0,1.0,144.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
62.0,64.0,99.0,0.0,2.0,120.0,0.0,0.0,0.0,1.0,36.0,0.0,spammer
242.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,40.0,2.0,spammer
1155.0,0.0,3.0,0.0,0.0,70.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
899.0,1.0,151.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
837.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
617.0,404.0,988.0,0.0,2.0,204.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
939.0,0.0,2.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,32.0,0.0,spammer
701.0,2.0,10.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,14.0,0.0,spammer
692.0,3.0,15.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1262.0,3.0,2.0,0.0,0.0,1814.0,0.0,0.0,0.0,1.0,42.0,0.0,spammer
333.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,55.0,0.0,spammer
978.0,44.0,18.0,0.0,0.0,116.0,0.0,1.0,0.0,1.0,14.0,0.0,spammer
804.0,35.0,29.0,1.0,1.0,239.0,0.0,1.0,0.0,1.0,55.0,0.0,spammer
1050.0,4.0,199.0,0.0,0.0,79.0,0.0,1.0,0.0,1.0,55.0,0.0,spammer
894.0,10.0,50.0,5.0,0.0,218.0,0.0,1.0,0.0,1.0,14.0,0.0,spammer
1277.0,1.0,21.0,5.0,0.0,127.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
57.0,953.0,1225.0,0.0,0.0,30074.0,0.0,0.0,0.0,1.0,61.0,0.0,spammer
1244.0,2.0,1.0,0.0,0.0,92.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1040.0,0.0,222.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,73.0,2.0,spammer
921.0,5.0,6.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
1202.0,4.0,215.0,0.0,0.0,2000.0,0.0,0.0,0.0,1.0,17.0,0.0,spammer
1307.0,3.0,440.0,0.0,0.0,58.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
972.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
944.0,2.0,61.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,52.0,2.0,spammer
815.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,41.0,0.0,spammer
803.0,6.0,758.0,2.0,0.0,75.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
1539.0,0.0,11.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
720.0,4.0,25.0,20.0,0.0,69.0,0.0,1.0,0.0,1.0,51.0,0.0,spammer
1132.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,37.0,0.0,spammer
930.0,2.0,13.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
1038.0,1.0,10.0,0.0,0.0,7102.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
446.0,1.0,2.0,0.0,0.0,68.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
965.0,2.0,2.0,0.0,0.0,333.0,0.0,0.0,0.0,1.0,39.0,2.0,spammer
765.0,17.0,573.0,23.0,0.0,74.0,0.0,1.0,0.0,1.0,32.0,0.0,spammer
933.0,0.0,2.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
860.0,2.0,6.0,1.0,0.0,111.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
1569.0,1.0,0.0,0.0,1.0,308.0,0.0,0.0,0.0,1.0,37.0,0.0,spammer
1155.0,0.0,191.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
1295.0,18.0,78.0,395.0,0.0,532.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
1889.0,8.0,32.0,0.0,0.0,69.0,0.0,1.0,0.0,1.0,45.0,0.0,spammer
926.0,8.0,33.0,0.0,0.0,73.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
961.0,0.0,0.0,0.0,0.0,123.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
343.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,18.0,0.0,spammer
1644.0,1.0,20.0,0.0,0.0,337.0,0.0,0.0,0.0,1.0,43.0,3.0,spammer
1810.0,1473.0,280.0,4.0,94.0,6511.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
1395.0,1.0,13.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
1272.0,5.0,412.0,0.0,0.0,73.0,0.0,1.0,0.0,1.0,15.0,0.0,spammer
896.0,9.0,42.0,1.0,0.0,83.0,0.0,1.0,0.0,1.0,58.0,0.0,spammer
1700.0,4.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,67.0,0.0,spammer
890.0,0.0,8.0,0.0,0.0,89.0,0.0,1.0,0.0,1.0,13.0,0.0,spammer
689.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
238.0,2161.0,2251.0,0.0,2.0,6411.0,0.0,0.0,0.0,1.0,35.0,1.0,spammer
1673.0,2.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1257.0,0.0,3.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
199.0,0.0,10.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1431.0,3.0,2.0,1.0,0.0,66.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
1376.0,31.0,134.0,1.0,0.0,70.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1345.0,27.0,205.0,4.0,1.0,145.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
1109.0,0.0,64.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
899.0,1.0,151.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1155.0,0.0,3.0,0.0,0.0,71.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
1766.0,3.0,3.0,1.0,0.0,65.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
837.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
486.0,19.0,113.0,0.0,0.0,97.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
242.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
677.0,1.0,2.0,0.0,0.0,334.0,0.0,0.0,0.0,1.0,67.0,4.0,spammer
692.0,3.0,15.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
1569.0,2.0,18.0,0.0,0.0,314.0,0.0,0.0,0.0,1.0,34.0,0.0,spammer
1589.0,1272.0,1114.0,181.0,8.0,30948.0,0.0,1.0,3.0,1.0,106.0,7.0,spammer
701.0,2.0,10.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
778.0,1.0,13.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
232.0,2009.0,1925.0,0.0,2.0,8187.0,0.0,0.0,0.0,1.0,29.0,0.0,spammer
1015.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
747.0,3.0,11.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
229.0,1943.0,1875.0,0.0,0.0,8433.0,0.0,0.0,0.0,1.0,37.0,0.0,spammer
1153.0,157.0,261.0,0.0,2.0,219.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
284.0,0.0,4.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
1244.0,2.0,1.0,0.0,0.0,93.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1277.0,1.0,21.0,5.0,0.0,128.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
221.0,1915.0,1780.0,0.0,0.0,6502.0,0.0,0.0,0.0,1.0,34.0,0.0,spammer
751.0,0.0,1.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1050.0,4.0,199.0,0.0,0.0,80.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
916.0,0.0,4.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
617.0,404.0,988.0,0.0,2.0,205.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
521.0,1.0,51.0,0.0,0.0,182.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
804.0,35.0,29.0,1.0,1.0,240.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
1580.0,4.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
972.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
857.0,1.0,213.0,0.0,0.0,318.0,0.0,0.0,0.0,1.0,37.0,0.0,spammer
1690.0,9.0,24.0,1.0,0.0,158.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
278.0,3.0,27.0,0.0,0.0,359.0,0.0,0.0,0.0,1.0,21.0,4.0,spammer
366.0,1.0,11.0,0.0,0.0,313.0,0.0,0.0,0.0,1.0,32.0,0.0,spammer
1307.0,3.0,440.0,0.0,0.0,59.0,0.0,1.0,0.0,1.0,32.0,0.0,spammer
614.0,56.0,27.0,0.0,2.0,14712.0,0.0,0.0,0.0,2.0,70.0,0.0,spammer
803.0,6.0,758.0,2.0,0.0,76.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
411.0,0.0,1.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
517.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
385.0,1.0,58.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,33.0,0.0,spammer
99.0,2786.0,2750.0,0.0,11.0,286.0,0.0,0.0,0.0,1.0,75.0,0.0,spammer
16.0,1.0,2.0,0.0,0.0,376.0,0.0,2.0,0.0,1.0,91.0,2.0,spammer
523.0,0.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
1338.0,187.0,347.0,0.0,1.0,5716.0,0.0,0.0,0.0,1.0,108.0,0.0,spammer
197.0,239.0,1701.0,0.0,0.0,127111.0,0.0,0.0,0.0,1.0,54.0,0.0,spammer
1539.0,0.0,11.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
473.0,219.0,1.0,0.0,0.0,381.0,0.0,2.0,0.0,1.0,96.0,2.0,spammer
740.0,0.0,14.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
1889.0,8.0,32.0,0.0,0.0,70.0,0.0,1.0,0.0,1.0,33.0,0.0,spammer
1665.0,2.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
690.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
342.0,2804.0,1846.0,0.0,10.0,25794.0,0.0,1.0,0.0,1.0,45.0,0.0,spammer
654.0,13.0,39.0,0.0,0.0,514.0,0.0,1.0,0.0,1.0,39.0,0.0,spammer
132.0,200.0,457.0,0.0,0.0,3412.0,0.0,0.0,0.0,1.0,40.0,0.0,spammer
133.0,96.0,413.0,0.0,0.0,3591.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
911.0,609.0,1100.0,0.0,1.0,1567.0,0.0,0.0,0.0,1.0,46.0,1.0,spammer
1083.0,1.0,156.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,39.0,0.0,spammer
1849.0,0.0,2.0,0.0,0.0,353.0,0.0,0.0,0.0,1.0,29.0,4.0,spammer
343.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
990.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1643.0,3.0,196.0,0.0,0.0,334.0,0.0,0.0,0.0,1.0,24.0,0.0,spammer
896.0,9.0,42.0,1.0,0.0,84.0,0.0,1.0,0.0,1.0,47.0,0.0,spammer
926.0,8.0,33.0,0.0,0.0,74.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
649.0,0.0,238.0,0.0,0.0,1137.0,0.0,0.0,0.0,1.0,20.0,1.0,spammer
694.0,0.0,5.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,41.0,0.0,spammer
199.0,0.0,10.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,37.0,0.0,spammer
1272.0,5.0,412.0,0.0,0.0,74.0,0.0,1.0,0.0,1.0,25.0,0.0,spammer
1673.0,2.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,39.0,0.0,spammer
44.0,1.0,159.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
1257.0,0.0,3.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,36.0,0.0,spammer
